sample,type,setting
Ara-5_20000gen_8597A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode19.fastq.gz
Ara-5_20000gen_8597B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-10-23_MinION_FBA70260/fastq/FBA70260_barcode11.fastq.gz
Ara-5_20000gen_8597B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode20.fastq.gz
Ara-5_30000gen_10404,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-10-23_MinION_FBA70260/fastq/FBA70260_barcode12.fastq.gz
Ara-5_30000gen_10404,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode21.fastq.gz
Ara-5_30000gen_10405,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-10-23_MinION_FBA70260/fastq/FBA70260_barcode13.fastq.gz
Ara-5_40000gen_10947,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-10-23_MinION_FBA70260/fastq/FBA70260_barcode14.fastq.gz
Ara-5_40000gen_10947,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode04.fastq.gz
Ara-5_40000gen_10948,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-10-23_MinION_FBA70260/fastq/FBA70260_barcode15.fastq.gz
Ara-5_50000gen_11339,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-10-23_MinION_FBA70260/fastq/FBA70260_barcode16.fastq.gz
Ara-5_50000gen_11339,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode22.fastq.gz
Ara-5_50000gen_11340,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode05.fastq.gz
Ara-5_60000gen_11700,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode06.fastq.gz
Ara-5_60000gen_11701,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-11-12_MinION_FBA72856/fastq/FBA72856_barcode07.fastq.gz
Ara-5_75000gen_JEB1709,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-03-28_nanopore_LTEE-75k-A-clones/fastq/FAV71531_pass_barcode11_8e9173c7_ad36453c.fastq.gz
Ara-5_75000gen_JEB1710,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-08_nanopore_LTEE-75K-B-clones/fastq/FAW52214_pass_barcode05_f37fe127_f1f55164.fastq.gz
Ara-6_10000gen_4541A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-02-09_MinION_FAY54223/fastq/FAY54223_barcode21.fastq.gz
Ara-6_10000gen_4541B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-02-09_MinION_FAY54223/fastq/FAY54223_barcode22.fastq.gz
Ara-6_20000gen_8598A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-12-05_MinION_FAX77511/fastq/FAX77511_pass_barcode08_c3556932_beb8cd76.fastq.gz
Ara-6_20000gen_8598A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-12-06_MinION_FAX77511/fastq/FAX77511_pass_barcode08_1615498f_00160060.fastq.gz
Ara-6_20000gen_8598A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-02-09_MinION_FAY54223/fastq/FAY54223_barcode07.fastq.gz
Ara-6_20000gen_8598B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-12-05_MinION_FAX77511/fastq/FAX77511_pass_barcode09_c3556932_beb8cd76.fastq.gz
Ara-6_30000gen_10447,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-12-06_MinION_FAX77511/fastq/FAX77511_pass_barcode17_1615498f_00160060.fastq.gz
Ara-6_30000gen_10448,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-12-06_MinION_FAX77511/fastq/FAX77511_pass_barcode18_1615498f_00160060.fastq.gz
Ara-6_40000gen_11005,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-12-05_MinION_FAX77511/fastq/FAX77511_pass_barcode10_c3556932_beb8cd76.fastq.gz
Ara-6_40000gen_11005,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-12-06_MinION_FAX77511/fastq/FAX77511_pass_barcode10_1615498f_00160060.fastq.gz
Ara-6_40000gen_11006,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-12-05_MinION_FAX77511/fastq/FAX77511_pass_barcode11_c3556932_beb8cd76.fastq.gz
Ara-6_50000gen_11389,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-02-09_MinION_FAY54223/fastq/FAY54223_barcode08.fastq.gz
Ara-6_50000gen_11389,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-04-03_MinION_FAX92353/fastq/FAX92353_barcode12.fastq.gz
Ara-6_50000gen_11390,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-02-09_MinION_FAY54223/fastq/FAY54223_barcode09.fastq.gz
Ara-6_50000gen_11390,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-04-03_MinION_FAX92353/fastq/FAX92353_barcode13.fastq.gz
Ara-6_50000gen_11390,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-05-15_MinION_FAX91866/fastq/FAX91866_barcode21.fastq.gz
Ara-6_60000gen_11771,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-12-05_MinION_FAX77511/fastq/FAX77511_pass_barcode12_c3556932_beb8cd76.fastq.gz
Ara-6_60000gen_11771,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-02-09_MinION_FAY54223/fastq/FAY54223_barcode10.fastq.gz
Ara-6_60000gen_11772,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-12-06_MinION_FAX77511/fastq/FAX77511_pass_barcode16_1615498f_00160060.fastq.gz
Ara-6_75000gen_JEB1713,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-03-28_nanopore_LTEE-75k-A-clones/fastq/FAV71531_pass_barcode12_8e9173c7_ad36453c.fastq.gz
Ara-6_75000gen_JEB1714,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-08_nanopore_LTEE-75K-B-clones/fastq/FAW52214_pass_barcode06_f37fe127_f1f55164.fastq.gz
Ara+1_10000gen_4530A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-07-10_nanopore_ara+1-clones/fastq/FAW56271_BC01_90a94bc9_225ae83c.fastq.gz
Ara+1_10000gen_4530A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-09-19_Nanopore/fastq/FAT84951_BC01_7f716b91_64a92633.fastq.gz
Ara+1_10000gen_4530A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-09-19_Nanopore/fastq/FAT84951_BC01_ca23dde1_d3eb7fd8.fastq.gz
Ara+1_10000gen_4530B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-07-10_nanopore_ara+1-clones/fastq/FAW56271_BC07_90a94bc9_225ae83c.fastq.gz
Ara+1_10000gen_4530B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-09-19_Nanopore/fastq/FAT84951_BC07_ca23dde1_d3eb7fd8.fastq.gz
Ara+1_10000gen_4530B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-09-19_Nanopore/fastq/FAT84951_BC07_7f716b91_64a92633.fastq.gz
Ara+1_20000gen_9282A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-07-10_nanopore_ara+1-clones/fastq/FAW56271_BC02_90a94bc9_225ae83c.fastq.gz
Ara+1_20000gen_9282A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-09-19_Nanopore/fastq/FAT84951_BC02_ca23dde1_d3eb7fd8.fastq.gz
Ara+1_20000gen_9282A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-09-19_Nanopore/fastq/FAT84951_BC02_7f716b91_64a92633.fastq.gz
Ara+1_20000gen_9282B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-07-10_nanopore_ara+1-clones/fastq/FAW56271_BC08_90a94bc9_225ae83c.fastq.gz
